URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://rich-tour.com/?view=program&tour=divovizhna_horvatija,Дивовижна Хорватія,1,06:00 &ndash; збір групи,,"06:00 &ndash; збір групи
06:20 &ndash; виїзд групи на територію Угорщини.
* Можливість доєднатись в Стрию та Мукачево.
Перетин україно-угорського кордону. Переїзд по території Угорщини.
Запрошуємо на тематичну вечірню екскурсію ""Вогні нічного Будапешту"" . Проїзджаючи через місто, перед Вами відкриється Будапешт, якого Ви ще не бачили... Ви поринете у справжню казку ілюмінації, побачите набережну столиці, яка занесена до Світової спадщини ЮНЕСКО: Парламент, панорама Королівського Палацу, Рибацький Бастіон, набережна Корзо та найдорожчі готелі міста у вечірніх вогнях. Старовинна Буда та елегантний Пешт злилися в неперевершений архітектурний комплекс, а неймовірні краєвиди перехоплюють подих та надихають на нові досягнення...
Переїзд в Хорватію.",752
https://rich-tour.com/?view=program&tour=divovizhna_horvatija,Дивовижна Хорватія,2,Прибуття на Південь Хорватії - Ривєра Клек.,,"Прибуття на Південь Хорватії - Ривєра Клек.
Місто та пляж можна подивитися на відео:",84
https://rich-tour.com/?view=program&tour=divovizhna_horvatija,Дивовижна Хорватія,9,Сніданок. Виселення з готелю. Сьогодні нас чекає ще один чудовий день! Після виселення з готелю ми вирушаємо до мальовни,,"Сніданок. Виселення з готелю. Сьогодні нас чекає ще один чудовий день! Після виселення з готелю ми вирушаємо до мальовничого міста Задар &mdash; справжньої перлини хорватського узбережжя. Тут усіх охочих запрошуємо на захопливу морську прогулянку корабликом до Національного парку Острови Корнаті &mdash; неймовірного архіпелагу, де бірюзове море ніжно огортає сотні маленьких острівців. На вас чекають чарівні краєвиди, подих свіжого морського вітру та спокій, який дарує лише Адріатика. (Вхідний квиток оплачується додатково) Це ідеальне завершення подорожі &mdash; день, що залишиться у пам&rsquo;яті як мить гармонії з природою. Вільний час.
Збір групи та виїзд на територію України.",687
https://rich-tour.com/?view=program&tour=divovizhna_horvatija,Дивовижна Хорватія,10,Перетин кордону.,,"Перетин кордону.
По дорозі дивимось фільми, ділимось фотографіями та приємними спогадами з відпочинку;
Вечірнє прибуття до Львова.",130
https://rich-tour.com/?view=program&tour=italija_-_tirrenske_more,ПІВДЕНЬ ІТАЛІЇ - ТІРРЕНСЬКЕ МОРЕ,1,05.15 - збір групи в м. Львів.,,"05.15 - збір групи в м. Львів.
можливість доєднатися до туру в Стрию, Мукачево, Ужгороді.
Переїзд на територію Угорщини. Прибуття до Будапешту. На Вас очікує ознайомча автобусна екскурсія &laquo;Скарби Будапешту&raquo; (за умови швидкого проходженя кордону). Ви поринете у справжню казку - найбільша площа Європи, проспект, який називають &laquo;угорським Champs-&Eacute;lys&eacute;es&raquo;. Фото-пауза на одній з найкрасивіших площ Європи. Виїзд на узбережжя - Ривєра де Улліссе. Нічний транзит до Італії.",507
https://rich-tour.com/?view=program&tour=italija_-_tirrenske_more,ПІВДЕНЬ ІТАЛІЇ - ТІРРЕНСЬКЕ МОРЕ,9,Ранковий ВІДПОЧИНОК НА ТІРРЕНСЬКОМУ МОРІ,,"Ранковий ВІДПОЧИНОК НА ТІРРЕНСЬКОМУ МОРІ
Ранкове море найкраще - коли стоїть повний штиль, водичка тепленька і хмари огортають вершини Апеннінських гір. По традиції кидаємо монетку, щоб повернутися.
Сніданок. Виселення з резиденції.
В цей день запрошуємо всіх до столиці Італії !!! Місто-музей, місто фонтанів, вічне місто, місто куди ведуть всі дороги &ndash; як тільки не називали Рим. А він живе століття, купаючись в теплих сонячних променях, дозволяючи гостям милуватися своїми древніми руїнами. Подорожуємо крізь століття разом. (пересування по місту громадським транспортом) Пропонуємо для Вас широкий вибір екскурсій та розваг . Вам залишається лише вибрати :-) - авторська екскурсія з локальним гідом &laquo;Між небом і землею: Рим&raquo;. (25&euro;+ аудіогіди) - Екскурсія ""Римські шедеври ",800
https://rich-tour.com/?view=program&tour=italija_-_tirrenske_more,ПІВДЕНЬ ІТАЛІЇ - ТІРРЕНСЬКЕ МОРЕ,10,"Слухаємо музику, дивимося фільми та ділимося враженнями &hellip; Ми їдемо додому. Прибуття до України ( Львів) .",,"Слухаємо музику, дивимося фільми та ділимося враженнями &hellip; Ми їдемо додому. Прибуття до України ( Львів) .",112
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,1,Збір групи в м. Львів.,,"Збір групи в м. Львів.
Переїзд на територію Угорщини. Перетин українсько-угорського кордону.
Прибуття до Будапешту.
На Вас очікує ознайомча автобусна екскурсія &laquo;Скарби Будапешту&raquo;. Ви поринете у справжню казку - найбільша площа Європи, проспект, який називають &laquo;угорським Champs-&Eacute;lys&eacute;es&raquo;, побачите набережну Дунаю, яка занесена до Світової спадщини ЮНЕСКО: Парламент, панорама Королівського Палацу, Рибацького Бастіону. Спільний фото-сет на площі Героїв.
Нічний транзит в Італію.",516
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,2,Нас вітає Італія :-) Починаємо наше знайомство з цією країною із романтичної Венеції!,,"Нас вітає Італія :-) Починаємо наше знайомство з цією країною із романтичної Венеції!
Немає сенсу описувати загальними фразами це місто куди ми відправляємось, побудоване на 118 островах, з єднане 400 мостами: єдине що варто додати що все, що ви чули про Венецію &mdash; правда! І канали замість вулиць у старому місті, і старовинні будівлі які пронизані дивовижною історією, і гондольєри &mdash; все це правда! ( проїзд громадським транспортом, пливемо корабликом 14 &euro; в одну сторону ).
Увага!!! З квітня 2026 року для в їзду у Венецію туристи зобов язані сплатити 5-10&euro; з ос. - Access Fee
Венеція &mdash; справжня мекка для інфлюенсерів та блогерів. Це одне з найінстаграмніших міст світу, де кожен поворот &mdash; це готова обкладинка. Перш ніж вирушити на екскурсію чи романтичну прогул",800
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,3,"Сніданок. Ріміні &mdash; це перлина Адріатичного узбережжя Італії, відома своїми золотистими пляжами, багатою історією т",,"Сніданок. Ріміні &mdash; це перлина Адріатичного узбережжя Італії, відома своїми золотистими пляжами, багатою історією та жвавим нічним життям. Курорт пропонує понад 15 км доглянутих пляжів, ідеальних для відпочинку, водних розваг і сімейного дозвілля. Історичний центр міста зберіг пам&rsquo;ятки римської епохи, як-от Арка Августа та Міст Тіберія, а також шедеври Ренесансу, зокрема Храм Малатеста.
ВІДПОЧИНОК НА АДРІАТИЧНОМУ МОРІ
Вечеря. Ночівля.",449
