URL туру,Назва туру,День №,Місто/Локація,Активності (теги),Опис дня,Симв.
https://eurotrips.ua/vikend-v-budapeshti-viden/,Вікенд у Будапешті + Відень,1,Львів,виїзд зі Львова; старт подорожі; знайомство в дорозі; нічний переїзд,"Збір групи у Львові — 16:00. Виїзд зі Львова — 17:00.
Закривай ноутбук, вимикай робочі сповіщення. Маршрут до офісу замінять прогулянки містом — попереду два дні у Будапешті та Відні.
Виїжджаємо у бік кордону. Знайомимось із групою в дорозі, відпочиваємо.
Нічний переїзд до Будапешта.
*Оскільки через воєнний стан багато людей перебувають у різних країнах — індивідуально підкажемо кожному, як зручніше приєднатися до туру.
**Потяги наразі можуть затримуватися. Рекомендуємо планувати прибуття до місця відправлення щонайменше за 10 годин, а в ідеалі — за добу до старту.",571
https://eurotrips.ua/vikend-v-budapeshti-viden/,Вікенд у Будапешті + Відень,2,Будапешт,оглядова прогулянка Будапештом; Сентендре; купальні Будапешта; кораблик по Дунаю; нічний Будапешт; Центральний ринок; клуб Fogaś,"Прибуваємо до Будапешта вранці. Ранкова кава, нове місто та відчуття, що попереду цілий день.
Починаємо з оглядової прогулянки з гідом-локалом. Різнокольорові вулички, Рибальський бастіон, вид на Дунай і Парламент. Завершуємо на Центральному ринковому залі: тут є що скуштувати з угорської кухні й знайти небанальні сувеніри.
А після оглядової — коротка поїздка до містечка Сентендре. Відоме своїми пастельними фасадами будинків, вузькими вуличками та мистецькою атмосферою. Тут можна помилуватися галереями, сувенірними крамницями та відчути справжню угорську провінційну магію. Родзинкою Сентендре є музей марципанів. Вартість допки: 35€.
Після заселення в готель — вільний час. Прогулянка вздовж Дунаю, дворики старого міста або будапештські купальні. Тепла вода, простора архітектура, повна відключеність від усього зайвого — один із тих досвідів, який варто відчути особисто.
Ввечері кораблик по Дунаю. Вартість допки: 35€. Парламент у вечірньому підсвічуванні, безлімітне ігристе та гарна компанія поруч. Потім, якщо є настрій, — нічний Будапешт і клуб Fogaś: два поверхи, кілька барів, різна музика.
Ніч у готелі.
Усі додаткові активності (далі — допки) за бажанням. Ти самостійно вирішуєш відвідувати їх чи ні.",1218
https://eurotrips.ua/vikend-v-budapeshti-viden/,Вікенд у Будапешті + Відень,3,Будапешт | Відень,вільний час у Будапешті; переїзд у Відень; оглядова прогулянка Віднем; австрійська кухня; вечірній Відень; нічний переїзд,"Сніданок і виселення з готелю.
Вільний час у Будапешті.
З бажаючими вирушаємо до Відня. Вартість допки: 50€. Австрійська столиця — інший темп і естетика: широкі проспекти, класична архітектура, відчуття виваженості.
Оглядова прогулянка з гідом-локалом: резиденції Габсбургів, собор Святого Стефана, Віденська національна опера, Музейний квартал. Гід покаже, де готують справжній шніцель і торт Захер — не туристичний варіант, а той, що їдять місцеві.
Після прогулянки — вільний час. Відень добре пізнається пішки: кав’ярні, парки, вулиці без поспіху.
Для тих, хто хоче більшого, є вечірній авторський маршрут «Легенди Відня» — містичні історії, ліхтарики й дегустація шнапсу. Вартість допки: 25€.
Повертаємось до Будапешта.
Нічний переїзд у Львів.
Усі допки — за бажанням. Ти самостійно вирішуєш відвідувати їх чи ні.",817
https://eurotrips.ua/vikend-v-budapeshti-viden/,Вікенд у Будапешті + Відень,4,Львів,повернення до Львова; фінал подорожі,"Прибуття у Львів орієнтовно о 16:00.
Чотири дні, два міста, одна компанія. Тепер є що згадати — і є з ким.
*Ціни на додаткові активності можуть незначно змінюватися залежно від сезону та інших обставин.
**Час прибуття до Львова — орієнтовний. Не рекомендуємо купувати квитки на зворотний потяг завчасно.",303
https://eurotrips.ua/adriatychne-more-italiyi/,Італія Море Доломітові Альпи,1,Львів,виїзд зі Львова; Нічний переїзд на Адріатичне узбережжя; Тур у Доломітові Альпи; Тур на Адріатичне море; Тур в Італію,"08:30 — збір групи.  09:00 — виїзд зі Львова.
Наша пригода починається! Зручно розміщуйся в автобусі, знайомся з новими людьми і налаштовуйся на яскраві враження попереду.
Крім вражень від Європи, на тебе чекають знайомства з цікавою компанією, повне перезавантаження і свобода для власних бажань. Іноді, щоб вирішити всі свої питання, достатньо просто відправитись у тур. Так і зробимо.
Нічний переїзд на Адріатичне узбережжя через Будапешт.
Оскільки через воєнний стан багато людей опинились в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).
Потяги наразі можуть затримуватись. Рекомендуємо планувати прибуття до місця відправлення щонайменше за 10 годин, а в ідеалі — за добу до старту туру.",749
https://eurotrips.ua/adriatychne-more-italiyi/,Італія Море Доломітові Альпи,2,Адріатичне узбережжя,Прибуття на узбережжя; релакс на пляжі; Відпочинок на Адріатичному морі,"Прибуття на узбережжя і заселення в готель поруч із пляжем.
На нас чекає невеликий, але особливий курортний куточок Італії між Венецією та Трієстом — Лідо-ді-Єзоло (або курорт поруч, але теж на Венеційській рів'єрі).  Улюблений курорт самих італійців, особливо жителів півночі країни. Місце з довгою курортною традицією, куди їдуть не випадково, а щоб повернутися.
Широкі піщані пляжі з пологим входом у море, повноцінний пляжний сервіс із шезлонгами і парасолями, готелі в серці курорту з розвиненою інфраструктурою. Курорт компактний — нові готелі тут майже не будуються, тому ті, що є, тримають рівень і стабільно заповнені в сезон.
Одна з головних переваг — відстань до найкрасивіших місць Північної Італії. Венеція, Доломітові Альпи, Верона — все поруч. Екскурсійна програма відбувається без виснажливих переїздів. Отримуй море і враження в одному турі.
На сьогодні ідеальний план: вдень лежимо на пляжі і дихаємо морем, а ввечері збираємось разом на прогулянку на кораблику. Келих ігристого, гарні краєвиди з води і приємна компанія поруч. Вартість: 35€ (ігристе включено).
Ніч у готелі.
Усі додаткові активності (далі — допки) не обов'язкові. Ти самостійно вирішуєш, відвідувати їх чи ні.",1195
https://eurotrips.ua/adriatychne-more-italiyi/,Італія Море Доломітові Альпи,3,Адріатичне узбережжя | Верона,вільний день; поїздка у Верону; прогулянки; Доломітові Альпи Італії; Подорож на Адріатичне море,"Сніданок у готелі.
Сьогодні можна відпочивати на пляжі під гарячим сонцем — а можна вирушити досліджувати Італію.
Верона — місто кохання і романтики. Пропонуємо авторську прогулянку з місцевим жителем: середньовічні вулички, де колись ходив Данте, і місця любовної історії Ромео та Джульєтти. Вартість поїздки до Верони: 35€.
Також сьогодні на нас чекає озеро Гарда — найбільше в Італії. Приїжджаємо до Пескʼєра-дель-Гарда: прогулянка вулицями старого міста, венеційські мури, мости через канали і аперитив із чарівним краєвидом на воду. Вартість поїздки: 50€.
Ніч у готелі.
Усі допки не обов'язкові. Ти самостійно вирішуєш, відвідувати їх чи ні.",646
https://eurotrips.ua/adriatychne-more-italiyi/,Італія Море Доломітові Альпи,4,Адріатичне узбережжя | Доломітові Альпи,Вільний день на морі; Адріатичне море Італія; Доломітові гори; Адріатичне узбережжя Італії; Тур в Італію,"Сніданок у готелі. Вільний день на морі.
Для тих, хто хоче побачити Італію інакше — їдемо в Доломітові Альпи.
Альпійське повітря, смарагдова гладь озера Браєс і скелясті гори навколо. Тут важко зробити погану фотографію — і ще важче захотіти їхати назад. Влаштуємо пікнік просто серед гір. Вартість: 50€.
Повернення на курорт.
Ніч у готелі.
Усі допки не обов'язкові. Ти самостійно вирішуєш, відвідувати їх чи ні.",412
https://eurotrips.ua/adriatychne-more-italiyi/,Італія Море Доломітові Альпи,5,Адріатичне узбережжя | Венеція,поїздка до Венеції; кольоровий Бурано; гондоли і водне таксі; Доломіти Італія; Адріатика,"Сніданок у готелі. Вільний день на морі.
Сьогодні пропонуємо вирушити до Венеції. Покатаємось на кораблику, прогуляємось вузькими вуличками, помилуємось Гранд-каналом, сфотографуємо Палац Дожів і загадаємо бажання на старовинних мостах. Вартість: 50€ (круїз від континентальної до острівної частини включено).
Ще одне яскраве враження попереду — Бурано. Різнокольорові будиночки, тихі вулички і жодного натовпу. Кожна стіна тут — готовий кадр. Вартість: 40€.
І наостанок — водне таксі головною артерією Венеції, Гранд-каналом. Красиво і незабутньо. Вартість: 35€.
Виїзд до Львова через Будапешт.
Усі допки не обов'язкові. Ти самостійно вирішуєш, відвідувати їх чи ні.",667
https://eurotrips.ua/adriatychne-more-italiyi/,Італія Море Доломітові Альпи,6,Львів,Приїзд у Львів; повернення додому; Подорож до Італії; Тур в Італію на море,"По дорозі — розмови про найяскравіші моменти і плани на наступні подорожі.
Орієнтовне прибуття до Львова — 22:00.
Якщо тобі треба підказати, як краще дістатись точки збору з твого міста і назад — просто скажи про це нашому менеджеру.
Час прибуття до Львова — орієнтовний. Не рекомендуємо купувати квитки на зворотний потяг завчасно.
Ціни на додаткові активності можуть незначно змінюватися залежно від сезону або інших обставин.",428
