URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",1,Львів,За бажанням вечірня екскурсія «Прага – місто легенд» (25€),Львів. 05:30 – виїзд зі Львова. Проходження кордону. Переїзд територією Польщі та Чехії. Прибуття в Прагу. За бажанням вечірня екскурсія «Прага – місто легенд» (25€) – місто тисячі легенд і захоплюючих історій. Поселення і ночівля в готелі.,240
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",2,Сніданок,"и будиночками і давніми легендами, під час якої можна піднятись на Блакитну Вежу (10€); або відпочити в термах Solebad (20€)","Сніданок. Виселення з готелю. Переїзд територією Німеччини до регіону Баден-Вюртемберг. Прибуття в милий Бад Вімпфен . Прогулятись містом – це як потрапити за лаштунки чарівного світу з маленькими будиночками і давніми легендами, під час якої можна піднятись на Блакитну Вежу (10€) або відпочити в термах Solebad (20€). Переїзд в Реймс і ночівля в готелі на території Франції.",376
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",3,Сніданок,У вільний час рекомендуємо: здійснити круїз по Сені (20€); • екскурсію островом Сіте і нескореним перед вогнем Нотр-Дамом (20€); • екскурсію «За фіалками на Монмартр» (25€),"Сніданок. Виселення з готелю. 10:30 – Прибуття в Париж. Оглядова екскурсія «Париж – місто краси і вічної романтики». «Дихай! Це найкрасивіше місто в світі!» – каже героїня одного з фільмів, а їх про Париж знято чимало. За дві тисячі років Париж бачив усе. Він страждав і виживав, переживав злети і падіння імперій, але незмінним було одне: Париж – це завжди про любов: до людей, мистецтва, смачної їжі, а передусім – про любов до себе. Вдихати Париж, зачаровуватись і відчувати. У вільний час рекомендуємо: здійснити круїз по Сені (20€) • екскурсію островом Сіте і нескореним перед вогнем Нотр-Дамом ",600
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",4,Сніданок,Рекомендуємо відвідати «Канкаль + пейзажі Pointe du Grouin» (35€),"Сніданок. На нас чекає океан! Виселення з готелю. 10:30 – Прибуття у Мон Сен-Мішель – «восьме чудо світу» . Між небом і землею, на узбережжі Атлантичного океану, на вершині скелястої гори, яка під час припливу перетворюється на острів, знаходиться фортеця-монастир Мон-Сен-Мішель, збудована 1500 років тому. Дивовижною музикою звучать тут ритми природи: коли відплив – острів оголюється, вода відступає на 18 км і весь горизонт займає піщана рівнина. Але ситуація змінюється, вода повертається, затоплюючи берег на 20 км, а разом з цим і «замок фей» на острові. Переїзд в Сен Мало , про який кажуть, ",600
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",5,Сніданок,Рекомендуємо відвідати таємничий острів Ре (30€); Рекомендуємо екскурсія «Бордо та його винні історії» (30€),"Сніданок. Виселення з готелю. Ранкова екскурсія в місті Нант , під час якої ми дізнаємось, чому місто називали «західною Венецією», цікаві історії про Жюль Верна та Луї де Фюнеса, які тут народились. 10:00 – Переїзд до берегів Нової Аквітанії, у місто-фортецю на Антлантичному океані – Ла-Рошель . Тут давній порт, торгівельні рибацькі традиції, морські музеї, середньовічні вежі, а свою славу місто отримало завдяки «Трьом мушкетерам». Рекомендуємо відвідати таємничий острів Ре (30€) – місце відпочинку французької знаті на Біскайській затоці, яке довго тримали в секреті. Ще 20 років тому потрапит",600
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",6,Сніданок,"Вільний час в Бордо, рекомендуємо на вибір: • «Сент-Емільйон – перлина Франції» (30€); • «Білосніжні дюни біля Аркашону» (40€)","Сніданок. Виселення з готелю. Вільний час в Бордо, рекомендуємо на вибір: • «Сент-Емільйон – перлина Франції» (30€). Містечко немов зійшло з сторінок доброї французької казки. Тут смачно готують і пригощають вишуканим вином. • «Білосніжні дюни біля Аркашону» (40€). «Французька пустеля» дюна Піла – це найвища піщана дюна в Європі і ще один красивий витвір природи, який варто побачити. 100 м висоти, 3 км довжини і 500 м ширини – такі нескромні параметри і вражаючі панорами. Переїзд і ночівля в готелі.",504
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",7,Сніданок,У вільний час рекомендуємо: «Кольмар – найбільш інстаграмне місто Ельзасу» (35€),"Сніданок. Виселення з готелю. Ранкова екскурсія містом Мюлуз, другим за величиною в Ельзасі. Статус імперського міста він отримав ще у 13 столітті, а ще через сто років став вільним містом. Вже пізніше Мюлуз приєднався до Франції – таким був вибір його жителів. У вільний час рекомендуємо: «Кольмар – найбільш інстаграмне місто Ельзасу» (35€), яке зберегло свою культуру та архітектуру попри світові війни. Квартал під назвою «Маленька Венеція» перенесе нас у світ казки. Переїзд в Чехію. Переїзд, поселення і ночівля в готелі.",527
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",8,Сніданок,,"Сніданок. Виселення з готелю. Дорогою в Україну ми зробимо зупинку в Тарнуві , щоб випити кави в затишному кафе, зайти до супермаркету, прогулятись вуличками і насолодитись атмосферою спокійного міста. Ми віримо, що скоро таким затишним і спокійним буде кожне місто нашої України. З новими силами, з позитивними емоціями ми повернемось в Україну. 23:00-02:00 – Прибуття у Львів. До нових зустрічей!",398
https://travelroom.lviv.ua/tour/308/,"Формула краси (Рим, Флоренція, Венеція)",1,Львів,,"Львів. 05:30 – виїзд зі Львова. Проходження кордону. 15:30 – Прибуття в Остраву – третє за величиною місто Чехії з затишним і приємний центром. Вільний час для прогулянки, шопінгу та чеських смаколиків. Переїзд, поселення і ночівля в готелі.",241
https://travelroom.lviv.ua/tour/308/,"Формула краси (Рим, Флоренція, Венеція)",2,Сніданок,Рекомендуємо водний круїз по Гранд Каналу (40€); або прогулянку на гондолі (35€),"Сніданок. Виселення з готелю. Переїзд Австрією з неймовірними панорамами Альпійських гір. Переїзд в Італію. 16:30 – Оглядова екскурсія «Симфонія краси та романтики – Венеція» (квиток на катер-30€). Цими вуличками гуляли мудрі Дожі, під мостами змінювались династії гондольєрів, в маленьких двориках ховались таємно-закохані, а над площею Сан Марко витав і досі витає дух свободи. Зануримось і ми в цю неймовірну атмосферу. Рекомендуємо водний круїз по Гранд Каналу (40€) або прогулянку на гондолі (35€). Переїзд, поселення і ночівля в готелі.",542
https://travelroom.lviv.ua/tour/308/,"Формула краси (Рим, Флоренція, Венеція)",3,"Їж, молись, люби! Сніданок",У вільний час рекомендуємо відвідати «Вічні цінності Ватикану» (60€); або «Символ слави – Колізей» (30€); Ввечері запрошуємо на екскурсію «Рим у кадрах кінофільмів» (25€),"Їж, молись, люби! Сніданок. Виселення з готелю. Переїзд і прибуття до столиці Італії. Оглядова екскурсія «Рим – вічне місто на семи пагорбах» , до якого, як відомо, ведуть усі дороги. Ми будемо гуляти бруківкою, яка пам’ятає гладіаторів, замовимо освіжаючий апероль і капрічозу у піццерії, де обідала Джулія Робертс в натхненному фільмі «Їсти, молитися, кохати». У вільний час рекомендуємо відвідати «Вічні цінності Ватикану» (60€) або «Символ слави – Колізей» (30€). Ввечері запрошуємо на екскурсію «Рим у кадрах кінофільмів» (25€). Про римських ангелів і демонів, про код і тіні, римські пригоди і ",600
https://travelroom.lviv.ua/tour/308/,"Формула краси (Рим, Флоренція, Венеція)",4,Сніданок,Дорогою відвідання інста-локації в Тоскані (25€); сто з висоти пташиного польоту запрошуємо на екскурсію «Дотик до струн її серця» (25€),"Сніданок. Виселення з готелю. Переїзд у Флоренцію. Дорогою відвідання інста-локації в Тоскані (25€). Оглядова екскурсія «Флоренція – місто великих майстрів» , символ епохи Відродження, де жили і творили справжні генії. У вільний час рекомендуємо прогулятись по набережній Арно, зазирнути до ювелірів на Понте Веккйо, а щоб побачити місто з висоти пташиного польоту запрошуємо на екскурсію «Дотик до струн її серця» (25€). Переїзд в закохану Верону. Вечірня прогулянка містом Ромео і Джульєтти. Чого лиш варта Арена-ді-Верона, збудована у 30 році – історія, яка закарбована у кожному камінчику вимощен",600
https://travelroom.lviv.ua/tour/308/,"Формула краси (Рим, Флоренція, Венеція)",5,Сніданок,Для бажаючих – трансфер до озера Гарда (30€),"Сніданок. Виселення з готелю. Вільний час в Вероні. Для бажаючих – трансфер до озера Гарда (30€) – найбільшого та одного з найбільш мальовничих озер в Італії. 11:30 – Виїзд з Верони. Переїзд в Каринтію – озерний край в Австрії з красивими барвами і шпилястими Альпами. Зупинка на фотопаузу на озері Вертерзее . Переїзд, поселення і ночівля в готелі.",349
https://travelroom.lviv.ua/tour/308/,"Формула краси (Рим, Флоренція, Венеція)",6,Сніданок,,"Сніданок. Виселення з готелю. Дорогою в Україну ми зробимо зупинку в Тарнуві, щоб випити кави в затишному кафе, зайти до супермаркету, прогулятись вуличками і насолодитись атмосферою спокійного міста. Ми віримо, що скоро таким затишним і спокійним буде кожне місто нашої України. З новими силами, з позитивними емоціями і ще міцнішою вірою в нашу перемогу ми повернемось в Україну. 23:00-02:00 – Прибуття у Львів. До нових зустрічей!",433
https://travelroom.lviv.ua/tour/213/,Париж,1,Львів,,"Львів. 05:30 – виїзд зі Львова. Проходження кордону. Переїзд територією Польщі. Прибуття у Вроцлав, четверте по величині місто в Польщі. Мальовниче місто розкинулось не тільки на обох береках річки Одри, але і на 12 острівцях, розташованих на злитті рукавів, — їх пов’язує близько сотні мостів і мостиків. «Вроцлав – місто, що гойдається на хвилях» – так часто називають Вроцлав, а ще багатьма іншими епітетами про які ми дізнаємось під час оглядової екскурсії вечірнім містом. Переїзд, поселення і ночівля в готелі.",516
https://travelroom.lviv.ua/tour/213/,Париж,2,Сніданок,,"Сніданок. Виселення з готелю. Переїзд в Моріцбург перенесе нас у події казки про Попелюшку, яка потрапляє на королівський бал і стає обраницею принца. Дещо схожа доля і в Коко Шанель: вона росла у сирітських злиднях, але досягла великого успіху. Фотопауза біля замку. Переїзд в Ерфурт. Прогулянка містом, яке називають чарівною коштовністю Німеччини. Тут, вдалині від промислових регіонів та мегаполісів, Німеччина не така, як ми звикли її уявляти. Розкішна архітектура, палаци і собори в невеликому і злегка провінційному місті. А ще тут є резиденція Наполеона, в якій великий полководець провів «ко",600
https://travelroom.lviv.ua/tour/213/,Париж,3,Сніданок,лядова екскурсія містом 18:00 – Запрошуємо прогулятись «За фіалками на Монмартр» (25€); Вечірня екскурсія «Вогні Парижу» (30€),"Сніданок. Виселення з готелю.14:00 – Прибуття в «Париж – місто краси і вічної романтики». Кожну секунду тут хочеться милуватись видами, ловити шармом француженок, усміхатись місьє, до муршок чаруватись мерехтінням Ейфелевої вежі та зробити 101 фото. Оглядова екскурсія містом 18:00 – Запрошуємо прогулятись «За фіалками на Монмартр» (25€) у богемний квартал «маленьких людей» з великими пристрастями – акторів та художників, які творили і мріяли, страждали і закохувались. Вечірня екскурсія «Вогні Парижу» (30€), під час якої ми відвідаємо стильний і сучасний район Дефанс, приєднаємось до романтику ",600
