URL,Назва туру,Маршрут (міста),Кількість днів,Виїзд з / Найближча дата,Входить у вартість,Додатково оплачується,Допки (за бажанням),Особливості туру,Базова ціна (€),Стара ціна (€),Статус парсингу,Дата парсингу
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",,8 днів / 7 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 7 ночей проживання в готелях 3* зі сніданком; супровід керівника групи; страхування; 4 екскурсії: Париж, Нант, Мон-Сен-Мішель і Мюлуз + ще 4 локації: Сан Мало, Ла-Рошель, Бад Вімпфен і Тарнув Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням- 250€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: <li style=""text-align",,,Ціна дійсна до: 20.05,550,,✅ done,"14.05.2026, 16:46:17"
https://travelroom.lviv.ua/tour/308/,"Формула краси (Рим, Флоренція, Венеція)",,6 днів / 5 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 5 ночей проживання в готелях 3* зі сніданком; супровід керівника групи; 3 екскурсії: Рим, Флоренція, Венеція + 4 локації: Острава, Верона, Тарнув і озеро Вертерзее; страхування Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням- 180€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Номер місця в а",,,,370,,✅ done,"14.05.2026, 16:46:22"
https://travelroom.lviv.ua/tour/213/,Париж,,7 днів / 6 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 6 ночей проживання в готелях 3* зі сніданком; супровід керівника групи; страхування; 3 екскурсії: у Парижі, Вроцлаві, Страсбургу і ще 3 локації: Моріцбург, Тарнув та Ерфурт Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням- 180€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Номер м",,,,420,,✅ done,"14.05.2026, 16:46:25"
https://travelroom.lviv.ua/tour/215/,Весна на острові Майнау,,5 днів / 4 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 4 ночі проживання в готелях 3* зі сніданком; супровід керівника групи; 2 екскурсії: у Кракові і Ротенбург-об-дер-Таубер; плюс 3 локації: острів Майнау, Кенігзее і Тарнув; страхування Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням; 130€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Н",,,,330,,✅ done,"14.05.2026, 16:46:28"
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,,9 днів / 8 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 8 ночей проживання в готелях 3* зі сніданком; супровід керівника групи; 6 екскурсій: Рим, Флоренція, Венеція, Тревізо, Краків, Неаполь; страхування Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням- 280€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Номер місця в автобусі вказується відразу при брон",,,,530,,✅ done,"14.05.2026, 16:46:32"
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,,,,"У вартість включено:; проїзд комфортабельним автобусом; проживання в готелях 3* зі сніданками; супровід керівника групи; 3 екскурсії: Катанія, Венеція, Рим + ще 5 локацій: Салерно, Острава, Больцано, Брно, Терні; страхування Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням- 350€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Номер місця в автобусі вказується відразу",,,,630,,✅ done,"14.05.2026, 16:46:35"
https://travelroom.lviv.ua/tour/311-spo/,Альпійська мелодія: Італія + Швейцарія + Лазурове узбережжя Франції,,8 днів / 7 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 7 ночей проживання в готелях 3* зі сніданком; супровід керівника групи; 6 екскурсій: Мілан, Ніцца, Лугано, Локарно, Краків, Беллінцона; плюс 5 локацій: Санкт-Гільген, Глівіце, Арона, Комо, замок Grande; страхування Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням- 240€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: <li style",,,,500,,✅ done,"14.05.2026, 16:46:38"
https://travelroom.lviv.ua/tour/501/,"Зимова казка: Закопане, Відень, терми",,4 днів / 3 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 3 ночі проживання в готелях 3* зі сніданками; супровід керівника групи; 2 екскурсії у Відні та Будапешті; 5 локацій: Закопане, Тренчин, Егер, Відень і Будапешт; страхування Додатково оплачуються:; додаткові екскурсії та вхідні квитки; одномісне розміщення (за бажанням; 100€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Номер місця в автобу",,,,230,,✅ done,"14.05.2026, 16:46:42"
https://travelroom.lviv.ua/tour/162/,"Легкість Амстердама, романтика Парижа + парк тюльпанів Койкенхоф",,7 днів / 6 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 6 ночей проживання в готелі 3* зі сніданком; супровід керівника групи; страхування; 5 екскурсій: Амстердам, Париж, Ганновер, Нюрнберг, Вроцлав Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням; 230€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Номер місця в автобусі вказується відразу",,,,450,,✅ done,"14.05.2026, 16:46:45"
https://travelroom.lviv.ua/tour/431/,,,,,,,,,,,⚠️ error: не завантажено,
https://travelroom.lviv.ua/tour/209-spo/,SPO Італія,,5 днів / 4 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; 4 ночі проживання в готелях 3* зі сніданком; супровід керівника групи; страхування; 4 оглядові екскурсії у Венеції, Вероні, Кракові та Граці Додатково оплачуються:; додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір Важливо: Номер місця в автобусі вказується відразу при броню",,,,320,,✅ done,"14.05.2026, 16:46:50"
https://travelroom.lviv.ua/tour/109/,Тур на VІ етап Кубка світу 2024/2025 з біатлону в Італію (Ангольц-Антерсельва),,3 днів / 2 ночей,,"У вартість включено:; проїзд комфортабельним автобусом; трансфер від готелю до місця змагань; 2 ночі проживання в готелі 3* зі сніданками; супровід керівника групи; страхування Додатково оплачуються:; квитки на змагання (від 95€ / 3 дні); додаткові екскурсії (за бажанням); одномісне розміщення (за бажанням; 120€); особисті витрати, обіди і вечері; проїзд в громадському транспорті; сіті-такс / курортний збір <div class=""ult",,,,390,,✅ done,"14.05.2026, 16:46:53"
https://travelroom.lviv.ua/tour/431-spo/,,,,,,,,,,,⚠️ error: не завантажено,
