ACTION_PLAN — Пріоритетні дії по напрямках,,,,,
НАПРЯМОК,ТИП РОЗРИВУ,ПРІОРИТЕТ ДІЙ,КОНКРЕТНА ДІЯ,ЧОМУ ВАЖЛИВО,СТАТУС
Франція,КРИТИЧНИЙ РОЗРИВ,🔴 КРИТИЧНО,"Додати 2–3 тури (Париж, Нормандія, Ельзас) — конкурент має 66 турів","Найбільший ринок (2878 виїздів/рік), Eurotrips повністю відсутній",НОВА ДІЯ
Нідерланди,КРИТИЧНИЙ РОЗРИВ,🔴 КРИТИЧНО,Запустити тур Амстердам (є 1 тур) + Бенілюкс (0 турів),"1418 виїздів конкурентів, 30 конкурентних турів, частка Eurotrips <1%",НОВА ДІЯ
Іспанія,НИЗЬКЕ ПОКРИТТЯ,🔴 КРИТИЧНО,"Розширити до 4–5 турів, додати Барселону всесезонно","680 виїздів/рік конкурентів, Eurotrips лише 2 тури (7 виїздів)",НОВА ДІЯ
Італія,ЗБАЛАНСОВАНО,🟡 СЕРЕДНІЙ,Зменшити нічні переїзди (-0.69 порівняно з конкурентами),"Найбільший напрямок у Eurotrips, але comfort_score нижчий на 19%",В РОБОТІ
Австрія,НИЗЬКЕ ПОКРИТТЯ,🟡 СЕРЕДНІЙ,"Додати 2 тури (Відень/Зальцбург + Гальштат), розширити сезон","1306 виїздів конкурентів, Eurotrips охоплює лише 3% ринку",НОВА ДІЯ
Греція,НИЗЬКЕ ПОКРИТТЯ,🟡 СЕРЕДНІЙ,Додати 3 пляжних тури (Халкідіки/Олімпійська рив'єра),"Сезон квітень–серпень, 540 виїздів конкурентів, Eurotrips лише 2 тури",В РОБОТІ
Чехія,ЗБАЛАНСОВАНО,🟡 СЕРЕДНІЙ,Знизити ціну або додати екскурсії — зараз на 8% дорожче медіани,"788 виїздів конкурентів, Eurotrips лише 3 тури (18 виїздів)",НОВА ДІЯ
Швейцарія,НИЗЬКЕ ПОКРИТТЯ,🟡 СЕРЕДНІЙ,"Запустити 1 тур Цюріх+Берн+Люцерн, конкурентна ціна 244 vs 331 у конкурентів","1175 виїздів конкурентів, Eurotrips лише 1 тур і нижча ціна",НОВА ДІЯ
Польща,ЗБАЛАНСОВАНО,🟢 НИЗЬКИЙ,Оптимізувати value_score — він найнижчий (0.58) серед напрямків Eurotrips,"514 виїздів, 4 тури Eurotrips, але value нижчий за ринок",МОНІТОРИНГ
Норвегія,ЗБАЛАНСОВАНО,🟢 НИЗЬКИЙ,Додати 1–2 виїзди у травні–червні для розширення сезону,"Лише 2 виїзди на рік, конкуренти 201 — великий gap за виїздами",НОВА ДІЯ
Румунія,ЗБАЛАНСОВАНО,🟢 НИЗЬКИЙ,"Підвищити ціну до рівня ринку (+44 EUR), продуктово обґрунтовано",Eurotrips 129 EUR vs конкуренти 173 EUR — значний gap без обґрунтування,МОНІТОРИНГ
Угорщина,ЗБАЛАНСОВАНО,🟢 НИЗЬКИЙ,Додати тури в зимовий сезон (Різдвяні ярмарки Будапешт),"314 виїздів/рік конкурентів, Eurotrips має лише 2 тури і не охоплює зиму",НОВА ДІЯ
Франція + Бельгія + Нідерланди,МУЛЬТИКРАЇННИЙ ПРОДУКТ,🔴 КРИТИЧНО,Розвинути тур EUR-25 (Мон-Сен-Мішель–Париж–Брюссель) — унікальний маршрут,EUR-25 має 4 виїзди/рік — потенціал 15+ при правильному позиціонуванні,В РОБОТІ
Іспанія + Італія + Франція,МУЛЬТИКРАЇННИЙ ПРОДУКТ,🟡 СЕРЕДНІЙ,Оновити EUR-13 (Барселона): додати 3–4 дати у червні–серпні,"Лише 1 виїзд/рік, маршрут охоплює 5 країн — дуже конкурентна пропозиція",В РОБОТІ
EUR-18 (Морська Італія),ЦІНОВА АНОМАЛІЯ,🟡 СЕРЕДНІЙ,Перевірити: ціна 549 EUR при value_score нижче медіани — або знижити або підвищити value,Ціна +254 EUR від медіани напрямку — найдорожчий тур у портфелі відносно конкурентів,ПЕРЕВІРИТИ
EUR-32 (Барселона),ЦІНОВА АНОМАЛІЯ,🟡 СЕРЕДНІЙ,Розкид ціни 529–629 EUR (100 EUR різниця) — прояснити логіку або зменшити розкид,"Великий розкид відлякує покупців, потрібно або фіксувати ціну або пояснити тарифні рівні",ПЕРЕВІРИТИ
Всього дій: 16 | Критичних: 4 | Нових: 8 | В роботі: 4,,,,,
